Wavelength(nm)	T%
767		-8.95E-05
766.5		7.36E-05
766		3.70E-05
765.5		9.16E-05
765		-9.96E-06
764.5		-3.30E-06
764		1.69E-05
763.5		4.92E-05
763		7.46E-05
762.5		0.000209658
762		4.08E-05
761.5		1.40E-05
761		1.19E-05
760.5		-6.88E-06
760		3.82E-05
759.5		-8.94E-05
759		4.23E-05
758.5		-8.60E-05
758		7.68E-06
757.5		-4.33E-05
757		-1.57E-05
756.5		-7.15E-05
756		3.38E-05
755.5		0.000142206
755		-2.67E-06
754.5		5.59E-05
754		-5.84E-06
753.5		-4.40E-05
753		0.000104498
752.5		7.94E-05
752		0.000142782
751.5		-1.27E-05
751		4.37E-05
750.5		2.41E-05
750		4.34E-05
749.5		-1.75E-05
749		-7.06E-05
748.5		0.000116688
748		-3.65E-05
747.5		-6.30E-06
747		7.91E-05
746.5		1.91E-05
746		3.22E-05
745.5		-6.33E-05
745		5.55E-05
744.5		-6.35E-05
744		-2.72E-05
743.5		0.000105865
743		2.90E-05
742.5		1.09E-05
742		3.16E-05
741.5		4.54E-05
741		-1.05E-05
740.5		-4.17E-06
740		6.05E-05
739.5		9.97E-05
739		0.000190619
738.5		-5.29E-05
738		-5.62E-06
737.5		5.95E-05
737		-6.92E-05
736.5		2.03E-05
736		3.91E-06
735.5		7.14E-05
735		5.21E-05
734.5		5.48E-06
734		-8.77E-05
733.5		-6.48E-05
733		4.57E-05
732.5		3.39E-05
732		-5.16E-05
731.5		-4.09E-05
731		-4.74E-05
730.5		5.41E-05
730		0.000166842
729.5		-1.96E-05
729		6.52E-05
728.5		6.60E-05
728		2.19E-05
727.5		1.05E-05
727		6.88E-05
726.5		6.25E-05
726		3.20E-05
725.5		7.83E-06
725		1.71E-05
724.5		-3.34E-05
724		7.38E-05
723.5		-4.81E-06
723		6.70E-06
722.5		1.34E-05
722		8.42E-05
721.5		8.03E-05
721		5.65E-05
720.5		6.24E-05
720		5.02E-05
719.5		5.00E-05
719		7.84E-05
718.5		9.31E-06
718		-0.00011175
717.5		-1.50E-05
717		9.65E-07
716.5		0.000129656
716		2.23E-05
715.5		-5.55E-06
715		0.000112576
714.5		2.30E-05
714		2.43E-05
713.5		-1.66E-05
713		5.49E-05
712.5		1.12E-05
712		8.75E-05
711.5		3.89E-05
711		2.52E-05
710.5		-4.43E-05
710		5.34E-05
709.5		8.74E-06
709		0.000122514
708.5		-6.68E-05
708		-1.56E-06
707.5		-5.89E-05
707		6.71E-05
706.5		2.61E-05
706		-1.67E-05
705.5		-6.96E-05
705		5.75E-05
704.5		9.57E-05
704		4.10E-05
703.5		-2.51E-05
703		-7.11E-05
702.5		0.000411526
702		-7.59E-05
701.5		1.44E-05
701		-6.62E-05
700.5		0.000205713
700		-4.46E-05
699.5		-9.56E-05
699		-4.34E-05
698.5		4.75E-05
698		0.000218639
697.5		3.95E-05
697		9.88E-05
696.5		0.000303218
696		-6.49E-05
695.5		9.20E-06
695		0.000258466
694.5		0.000501662
694		0.000877894
693.5		0.001128592
693		0.000908092
692.5		0.000709866
692		0.000301907
691.5		-1.81E-05
691		-1.13E-05
690.5		3.99E-05
690		-3.82E-05
689.5		-7.65E-05
689		0.000171322
688.5		-9.14E-05
688		7.51E-05
687.5		0.000158143
687		-0.000214579
686.5		0.0003088
686		2.12E-05
685.5		-3.32E-06
685		0.000136391
684.5		3.46E-05
684		-8.04E-06
683.5		4.00E-05
683		0.000202585
682.5		0.000206413
682		0.000337282
681.5		0.000382668
681		0.000518448
680.5		0.00060281
680		0.000244433
679.5		0.000147277
679		5.95E-05
678.5		3.60E-05
678		0.000189265
677.5		2.01E-05
677		-2.87E-05
676.5		6.35E-06
676		-0.000102411
675.5		9.77E-05
675		3.91E-05
674.5		1.54E-05
674		2.75E-05
673.5		6.19E-05
673		-3.20E-05
672.5		-1.77E-05
672		-3.04E-05
671.5		4.39E-05
671		-1.89E-05
670.5		1.19E-05
670		-2.00E-05
669.5		1.47E-05
669		6.13E-06
668.5		-1.66E-06
668		2.32E-05
667.5		4.26E-05
667		-7.08E-05
666.5		-3.78E-05
666		-2.65E-05
665.5		8.41E-05
665		0.000114836
664.5		-0.000114284
664		-1.64E-05
663.5		-0.000103201
663		-6.50E-05
